Token;Label_Maj;Quaero_Maj
fumier;;
";";;
la;PER;
mère;PER;
"
";PER;
Nannette;PER;
;;
qui;;
le;;
savait;;
bien;;
;;
avait;;
une;;
vache;;
et;;
"
";;
une;;
chèvre;;
qu';;
elle;;
menait;;
paître;;
sur;;
les;;
commu-;;
"
";;
naux;;
et;;
le;;
long;;
des;;
haies;;
.;;
Avec;;
leur;;
lait;;
elle;;
faisait;;
"
";;
du;;
beurre;;
et;;
des;;
fromages;;
;;
qu';;
elle;;
vendait;;
à;;
la;;
"
";;
ville;;
voisine;;
.;;
Quand;;
ses;;
bêtes;;
étaient;;
rentrées;;
à;;
"
";;
l';;
étable;;
;;
elle;;
allait;;
chercher;;
pour;;
elles;;
de;;
l';;
herbe;;
"
";;
dans;;
les;;
champs;;
et;;
au;;
bord;;
des;;
ruisseaux;;
.;;
Comme;;
"
";;
elle;;
les;;
tenait;;
bien;;
proprement;;
;;
elles;;
étaient;;
en;;
ban;;
"
";;
état;;
.;;
L';;
hiver;;
;;
elles;;
mangeaient;;
ou;;
du;;
trèfle;;
qui;;
"
";;
avait;;
été;;
rentré;;
bien;;
sec;;
;;
ou;;
du;;
regain;;
récolté;;
après;;
"
";;
la;;
fauche;;
des;;
grands;;
foins;;
.;;
"

";;
La;PER;
mère;PER;
Nannette;PER;
vendait;;
son;;
vin;;
et;;
ne;;
buvait;;
"
";;
que;;
sa;;
boisson;;
‘;;
";";;
mais;;
;;
comme;;
l';;
argent;;
qu’;;
elle;;
ti-;;
"
";;
rait;;
de;;
son;;
vin;;
suffisait;;
bien;;
juste;;
;;
avec;;
celui;;
de;;
"
";;
son;;
beurre;;
et;;
de;;
ses;;
fromages;;
;;
à;;
payer;;
l’;;
impôt;;
et;;
"
";;
les;;
façons;;
de;;
son;;
champ;;
et;;
de;;
sa;;
vigne;;
;;
et;;
qu';;
il;;
lui;;
"
";;
fallait;;
encore;;
se;;
procurer;;
quelque;;
argent;;
pour;;
son;;
"
";;
entretien;;
;;
elle;;
élevait;;
des;;
oisons;;
qu';;
elle;;
achetait;;
"

";;
4;;
.;;
Eau;;
passée;;
sur;;
la;;
râpe;;
ou;;
le;;
marc;;
de;;
la;;
vendange;;
.;;
.;;
"

";;
ENFANCE;;
DE;;
JEANNE;PER;
.;;
à;;
"

";;
au;;
sortir;;
de;;
la;;
coque;;
.;;
Elle;;
se;;
donnait;;
beaucoup;;
de;;
"
";;
mal;;
pour;;
appâter;;
ces;;
petites;;
bêtes;;
et;;
pour;;
les;;
"
";;
garantir;;
du;;
froid;;
pendant;;
la;;
nuit;;
.;;
Ses;;
voisines;;
"
";;
plumaient;;
leurs;;
vies;;
quatre;;
fois;;
avant;;
de;;
les;;
ven-;;
"

 

";;
Chaumière;;
de;;
la;PER;
mè1;PER;
.;;
Nannette;PER;
"

";;
dre;;
";";;
mais;;
la;PER;
mère;PER;
Nannette;PER;
disait;;
que;;
c';;
était;;
une;;
"
";;
mauvaise;;
méthode;;
;;
parce;;
qu’;;
ainsi;;
l2;;
plume;;
n';;
a-;;
"
";;
vait;;
pas;;
le;;
temps;;
de;;
se;;
nourrir;;
;;
et;;
elle;;
ne;;
plumait;;
"
";;
les;;
siennes;;
que;;
trois;;
fois;;
";";;
puis;;
elle;;
en;;
vendait;;
la;;
"
";;
moitié;;
pour;;
la;MISC;
Toussaint;MISC;
et;;
l’;;
autre;;
moitié;;
à;;
Noël;MISC;
.;;
"

";;
&;;
CREMIÈRE;;
PARTIE;;
.;;
"

";;
Tout;;
eela;;
ne;;
lui;;
rapportait;;
pas;;
une;;
grosse;;
somme;;
";";;
"
";;
mais;;
elle;;
était;;
si;;
ménagère;;
qu';;
il;;
lui;;
restait;;
toujours;;
"
";;
un;;
pou;;
d';;
argent;;
à;;
la;;
fin;;
de;;
l';;
année;;
.;;
Pourtant;;
elle;;
"
";;
ne;;
se;;
nourrissait;;
pas;;
trop;;
mal;;
;;
disant;;
qu';;
elle;;
"
";;
aimait;;
mieux;;
donner;;
au;;
boucher;;
une;;
pidée;;
de;;
"
";;
cinquante;;
centimes;;
toutes;;
les;;
semgines;;
;;
que;;
vingt-;;
"
";;
cinq;;
francs;;
par;;
an;;
au;;
médecin;;
et;;
au;;
pharmacien;;
.;;
"

";;
Cathorino;PER;
et;;
Jeanne;PER;
.;;
°;;
"

";;
Un;;
matin;;
;;
la;PER;
mère;PER;
Nannette;PER;
;;
tricotant;;
devant;;
sa;;
"
";;
porte;;
;;
vit;;
venir;;
à;;
elle;;
une;;
jeune;;
femme;;
qui;;
tenait;;
"
";;
par;;
la;;
main;;
une;;
petite;;
fille;;
de;;
sept;;
à;;
huit;;
ans;;
et;;
"
";;
qui;;
lui;;
demanda;;
un;;
morceau;;
de;;
pain;;
.;;
Comme;;
cette;;
"
";;
femme;;
était;;
très;;
-0;;
pâle;;
et;;
avait;;
l';;
air;;
malade;;
;;
la;PER;
mère;PER;
"
";PER;
Nannette;PER;
l';;
emmena;;
dans;;
sa;;
maison;;
et;;
la;;
fit;;
asseoir;;
.;;
"
";;
Elle;;
ralluma;;
son;;
feu;;
;;
fit;;
réchauff;;
:;;
r;;
un;;
reste;;
de;;
"
";;
soupe;;
qu';;
elle;;
avait;;
gardé;;
.;;
pour;;
son;;
repas;;
du;;
soir;;
et;;
"
";;
le;;
donna;;
aux;;
deux;;
mendiantes;;
.;;
L';;
enfant;;
mangea;;
"
";;
de;;
si;;
bon;;
cœur;;
;;
que;;
la;PER;
mère;PER;
Nannette;PER;
vit;;
bien;;
que;;
"
";;
cette;;
petite;;
fille;;
n';;
avait;;
pas;;
souvent;;
si;;
bonne;;
"
";;
chance;;
.;;
Ensuite;;
elle;;
leur;;
versa;;
un;;
verre;;
de;;
boisson;;
"
";;
à;;
chacune;;
;;
et;;
dit;;
à;;
la;;
pauvre;;
femme;;
:;;
"

";;
«;;
Mon;;
Dieu;MISC;
!;;
il;;
faut;;
qu';;
il;;
vous;;
soit;;
arrivé;;
un;;
"
";;
bien;;
grand;;
malheur;;
;;
pour;;
qu';;
une;;
femme;;
;;
aussi;;
jeune;;
"
";;
que;;
vous;;
;;
ait;;
pu;;
se;;
décider;;
à;;
demander;;
son;;
pain;;
!;;
"

";;
—;;
Oh;;
!;;
oui;;
;;
un;;
bien;;
grand;;
malheur;;
;;
ma;;
chère;;
"
";;
femme;;
.;;
Il;;
faut;;
se;;
trouver;;
dépourvue;;
de;;
toute;;
res-;;
"
";;
source;;
pour;;
se;;
résoudre;;
à;;
en;;
venir;;
là;;
.;;
J';;
ai;;
bien;;
"
";;
souffert;;
de;;
la;;
faim;;
avant;;
de;;
pouvoir;;
me;;
décider;;
à;;
"
";;
teudre;;
la;;
main;;
";";;
je;;
erois;;
que;;
je;;
mc;;
serais;;
plutôt;;
"
";;
laissé;;
mourir;;
;;
si;;
je;;
n';;
avais;;
la;;
crainte;;
de;;
Dieu;;
et;;
"

 

";;
ENFANCE;;
DE;;
JEANNE;PER;
.;;
5;;
"

";;
si;;
je;;
n';;
aimais;;
tant;;
cette;;
pauvre;;
innocente;;
que;;
voilà;;
;;
"
";;
et;;
qui;;
serait;;
morte;;
aussi;;
.;;
Quand;;
il;;
m';;
en;;
coûte;;
.;;
"

 

 

";;
trop;;
pour;;
aller;;
demander;;
;;
je;;
la;;
regarde;;
et;;
je;;
re-;;
"
";;
prends;;
courage;;
.;;
C';;
est;;
bien;;
triste;;
;;
allez;;
;;
ma;;
chère;;
"
";;
femme;;
;;
quand;;
on;;
a;;
du;;
cœur;;
;;
de;;
vivre;;
en;;
ne;;
"

 

";;
6;;
PREMIÈRE;;
PARTIE;;
;;
"

";;
faisant;;
rien;;
;;
aux;;
dépens;;
de;;
ceux;;
qui;;
travaillent;;
!;;
"
";;
mais;;
je;;
ne;;
peux;;
pas;;
faire;;
autrement;;
.;;
"

";;
—;;
Pourquoi;;
done;;
?;;
dit;;
la;PER;
mère;PER;
Nannotte;PER;
;;
Con-;;
"
";;
tez;;
-moi;;
ça;;
.;;
»;;
"

";;
La;;
pauvre;;
femme;;
dit;;
à;;
la;PER;
mère;PER;
Nannette;PER;
:;;
"

";;
«;;
Je;;
suis;;
du;;
village;;
qui;;
est;;
auprbs;;
du;;
Cher;LOC;loc.phys.hydro
;;
à;;
"
";;
trois;;
lieues;;
d';;
ici;;
;;
1;;
];;
y;;
a;;
deux;;
mois;;
;;
j';;
ai;;
perdu;;
"
";;
mon;;
mari;;
à;;
la;;
suite;;
d';;
une;;
grosso;;
maladie;;
qui;;
l';;
a;;
"
";;
retenu;;
au;;
lit;;
pendant;;
bion;;
longtemps;;
.;;
J';;
ai;;
vendu;;
"
";;
tont;;
ce;;
que;;
j';;
avais;;
afin;;
de;;
pouvoir;;
le;;
soigner;;
;;
"
";;
Quand;;
il;;
n';;
y;;
a;;
plus;;
rien;;
ou;;
à;;
la;;
maison;;
que;;
le;;
lit;;
"
";;
sur;;
lequel;;
il;;
était;;
couché;;
;;
il;;
a;;
bien;;
fallu;;
s';;
endetter;;
.;;
"
";;
Après;;
sa;;
mort;;
;;
on;;
à;;
vendu;;
la;;
maison;;
;;
le;;
jordin;;
;;
"
";;
la;;
chènovière;;
;;
enfin;;
tout;;
;;
pour;;
payer;;
le;;
médecin;;
"
";;
et;;
les;;
autres;;
;;
et;;
je;;
ne;;
sais;;
plus;;
où;;
me;;
retirer;;
.;;
On;;
"
";;
ne;;
veut;;
pas;;
me;;
louer;;
;;
même;;
une;;
petite;;
chambre;;
;;
"
";;
parce;;
que;;
je;;
n';;
oi;;
pas;;
de;;
mobilier;;
pour;;
répondre;;
"

";;
du;;
loyer;;
.;;
Je;;
couche;;
avec;;
ma;;
petite;PER;
Jeanne;PER;
dans;;
les;;
"
";;
granges;;
;;
quand;;
on;;
veut;;
bien;;
m';;
y;;
souffrir;;
;;
ou;;
bien;;
"
";;
sur;;
les;;
tas;;
de;;
chaume;;
.;;
C';;
est;;
bon;;
à;;
présent;;
qu';;
il;;
"
";;
fait;;
chaud;;
";";;
mais;;
plus;;
tard;;
;;
comment;;
faire;;
avec;;
"
";;
cette;;
enfant;;
;;
moi;;
à;;
qui;;
les;;
médecins;;
ont;;
défendu;;
"
";;
de;;
sortir;;
pendant;;
tout;;
l’;;
hiver;;
?;;
»;;
"

";;
Et;;
la;;
pauvre;;
malheureuse;;
se;;
mit;;
à;;
pleurer;;
.;;
Sa;;
"
";;
petite;;
fille;;
pleura;;
aussi;;
en;;
l';;
embrassant;;
.;;
Elle;;
avait;;
"
";;
l';;
air;;
si;;
doux;;
et;;
si;;
aimable;;
;;
cette;;
petite;;
;;
que;;
la;PER;
"
";PER;
mère;PER;
Nannette;PER;
sentit;;
fondre;;
son;;
cœur;;
en;;
pensant;;
"
";;
à;;
la;;
misère;;
qu';;
elle;;
endurerait;;
quand;;
l';;
hiver;;
serait;;
"

";;
venu;;
.;;
Aussitôt;;
il;;
lui;;
vint;;
dans;;
l';;
idée;;
de;;
faire;;
une;;
"
";;
bonne;;
action;;
.;;
"

";;
ENFANCE;;
DE;;
JEANNE;PER;
.;;
7;;
"

";;
La;PER;
mèro;PER;
Nannetto;PER;
donne;;
aile;;
À;;
Gathorino;PER;
.;;
"

";;
a;;
Comment;;
vous;;
appelez;;
-vous;;
donc;;
?;;
demanda;;
"
";;
In;PER;
mère;PER;
Nannotte;PER;
.;;
"

";;
—;;
On;;
m';;
appelle;;
Catherine;PER;
Leblane;PER;
.;;
"

";;
—;;
Eh;;
bien;;
!;;
Catherine;PER;
;;
j';;
ai;;
là;;
un;;
vieux;;
lit;;
;;
une;;
"
";;
paillasse;;
et;;
une;;
couverture;;
";";;
si;;
vous;;
voulez;;
rester;;
"
";;
lei;;
;;
je;;
vous;;
logerai;;
de;;
bien;;
bon;;
cœur;;
et;;
je;;
vous;;
"
";;
soignerai;;
de;;
mon;;
mieux;;
;;
ainsi;;
;;
que;;
votre;;
petite;;
";";;
"
";;
j';;
aime;;
beaucoup;;
les;;
enfants;;
";";;
j';;
en;;
ai;;
eu;;
quatre;;
;;
"
";;
que;;
le;;
bon;;
Dieu;;
m';;
a;;
retirés;;
;;
et;;
je;;
suis;;
bien;;
seule;;
"
";;
au;;
monde;;
.;;
"

";;
—;;
Grand;;
merci;;
!;;
ma;;
brave;;
femme;;
";";;
vous;;
me;;
"
";;
rendrez;;
là;;
un;;
service;;
qui;;
nous;;
sauvera;;
la;;
vie;;
à;;
moi;;
"
";;
et;;
à;;
mon;;
enfant;;
.;;
J';;
ai;;
encore;;
mon;;
lit;;
;;
avec;;
un;;
"
";;
coffre;;
et;;
une;;
petite;;
chaise;;
.;;
Maître;PER;
Guillaume;PER;
;;
le;;
"
";;
cousin;;
de;;
feu;;
mon;;
pauvre;;
homme;;
;;
me;;
les;;
garde;;
"
";;
dans;;
sa;;
grange;;
";";;
il;;
me;;
les;;
apportera;;
bien;;
diman-;;
"
";;
che;;
.;;
Si;;
vous;;
me;;
logez;;
avec;;
mon;;
chétif;;
mobilier;;
;;
je;;
"
";;
vous;;
donnerai;;
les;;
sous;;
que;;
je;;
ramasserai;;
en;;
allant;;
"
";;
aux;;
portes;;
.;;
"

";;
—;;
Je;;
ne;;
vous;;
demande;;
rien;;
;;
Catherine;PER;
";";;
j';;
aime;;
"
";;
déjà;;
votre;;
petite;;
Jeanne;PER;
et;;
j';;
en;;
aurai;;
bien;;
soin;;
.;;
"
";;
Dieu;;
veut;;
que;;
nous;;
fassions;;
aux;;
autres;;
ce;;
que;;
"
";;
nous;;
voudrions;;
que;;
les;;
autres;;
fissent;;
pour;;
nous;;
";";;
"
";;
et;;
si;;
j';;
étais;;
dans;;
votre;;
position;;
;;
je;;
serais;;
bien;;
"
";;
heureuse;;
de;;
trouver;;
quelqu';;
un;;
qui;;
voulôt;;
me;;
re-;;
"
";;
cevoir;;
dans;;
sa;;
maison;;
.;;
»;;
"

";;
Catherine;PER;
était;;
bien;;
contente;;
;;
et;;
sa;;
petite;;
fille;;
lui;;
"
";;
sauta;;
au;;
cou;;
;;
"

";;
«;;
Maman;PER;
!;;
il;;
ne;;
faut;;
plus;;
pleurer;;
;;
»;;
lui;;
dit;;
-elle;;
.;;
"

";;
8;;
PREMIÈRE;;
PARTIE;;
.;;
"

";;
Puis;;
;;
se;;
tournant;;
du;;
eûté;;
de;;
la;PER;
mère;PER;
Nannette;PER;
;;
"
";;
elle;;
dit;;
en;;
baissunt;;
la;;
tôte;;
:;;
"

";;
«;;
Je;;
voudrais;;
bien;;
vous;;
embrasser;;
aussi;;
;;
»;;
"

";;
La;PER;
mèro;PER;
Nannette;PER;
la;;
prit;;
sur;;
ses;;
genoux;;
et;;
l';;
em-;;
"
";;
brasse;;
de;;
bon;;
cœur;;
.;;
"

";;
Cathorine;PER;
ot;;
Joanne;PER;
trouvent;;
un;;
bracelet;;
;;
"

";;
Après;;
que;;
la;;
mère;;
et;;
la;;
fille;;
se;;
furent;;
reposées;;
;;
"
";;
elles;;
so;;
romiront;;
en;;
chemin;;
pour;;
aller;;
chercher;;
"
";;
leur;;
pain;;
dans;;
la;;
campagne;;
;;
en;;
disant;;
qu';;
elles;;
"
";;
reviendraient;;
le;;
soir;;
.;;
Comme;;
on;;
était;;
dans;;
la;;
sai-;;
"
";;
son;;
des;;
prunes;;
et;;
des;;
groseilles;;
;;
ln;PER;
mère;PER;
Nannette;PER;
"
";;
on;;
alla;;
cueillir;;
au;;
jardin;;
et;;
les;;
mit;;
dans;;
le;;
bissac;;
"

";;
de;;
Jeanne;PER;
;;
pour;;
qu';;
elle;;
pût;;
se;;
rafraîchir;;
quand;;
"
";;
olle;;
aurait;;
trop;;
chaud;;
.;;
"

";;
Comme;;
elles;;
traversaient;;
la;;
grande;;
route;;
pour;;
"
";;
revenir;;
chez;;
la;PER;
mère;PER;
Nannette;PER;
;;
après;;
avoir;;
achevé;;
"
";;
leur;;
tournée;;
;;
la;PER;
petite;PER;
Jeanne;PER;
vit;;
briller;;
un;;
objet;;
"
";;
au;;
soleil;;
";";;
elle;;
courut;;
le;;
ramasser;;
et;;
l';;
apporta;;
"
";;
joyeusement;;
à;;
sa;;
mère;;
.;;
"

";;
«;;
Voyez;;
donc;;
;;
maman;;
;;
le;;
joli;;
collier;;
que;;
j';;
ai;;
"
";;
trouvé;;
";";;
je;;
le;;
mettrai;;
dimanche;;
à;;
mon;;
cou;;
:;;
"

";;
—;;
Ma;;
fille;;
;;
ceci;;
est;;
un;;
bijou;;
qui;;
se;;
porte;;
au-;;
"
";;
tour;;
du;;
bras;;
et;;
qu';;
on;;
appelle;;
bracelet;;
;;
Il;;
n’;;
est;;
pas;;
"
";;
à;;
nous;;
;;
et;;
nous;;
ne;;
pouvons;;
pas;;
le;;
garder;;
.;;
"

";;
—;;
Pourquoi;;
donc;;
;;
maman;;
?;;
Puisque;;
je;;
lai;;
"
";;
trouvé;;
;;
c';;
est;;
bien;;
à;;
nous;;
.;;
"

";;
—;;
Non;;
;;
ma;;
fille;;
";";;
ce;;
qu';;
on;;
trouve;;
ne;;
nous;;
ap-;;
"
";;
partient;;
pas;;
";";;
il;;
ÿ;;
a;;
toujours;;
quelqu';;
un;;
qui;;
l';;
a;;
"
";;
perdu;;
.;;
"

";;
—;;
-0;;
Mais;;
;;
maman;;
;;
si;;
personne;;
ne;;
l’;;
a;;
perdu;;
?;;
"

";;
ENFANCE;;
DE;;
JEANNE;PER;
;;
9;;
"

";;
—;;
Co;;
n';;
est;;
pas;;
possible;;
;;
mon;;
enfant;;
:;;
les;;
bijoux;;
"
";;
ne;;
poussent;;
pas;;
comme;;
l';;
herbe;;
dans;;
les;;
champs;;
.;;
"

";;
—;;
Et;;
ai;;
personne;;
ne;;
le;;
redemande;;
?;;
"

";;
—;;
(;;
n;;
ne;;
doit;;
pas;;
nous;;
empêcher;;
de;;
chercher;;
à;;
"
";;
qui;;
ce;;
hracelet;;
peut;;
appartenir;;
";";;
nous;;
nous;;
on;;
in-;;
"
";;
formerons;;
dans;;
tout;;
le;;
pays;;
.;;
"

";;
—;;
Et;;
s';;
il;;
n';;
est;;
à;;
personne;;
?;;
"

";;
—;;
Eh;;
bien;;
;;
nous;;
le;;
garderons;;
soigneusement;;
;;
"
";;
et;;
l';;
on;;
finira;;
par;;
venir;;
le;;
réclamer;;
.;;
»;;
"

";;
Jeanne;PER;
ne;;
paraissant;;
pas;;
très;;
-0;;
contonto;;
;;
sa;;
mère;;
"
";;
lui;;
dit;;
:;;
«;;
Écoute;;
-moi;;
;;
ma;;
Jeunne;PER;
:;;
si;;
tu;;
avais;;
"
";;
perdu;;
ton;;
bissne;;
en;;
chemin;;
;;
ne;;
serais;;
-0;;
tu;;
pas;;
con-;;
"
";;
tente;;
qu';;
on;;
te;;
le;;
rendit;;
?;;
"

";;
—;;
Oui;;
;;
maman;;
;;
car;;
il;;
m';;
est;;
bien;;
utile;;
pour;;
"
";;
mottre;;
le;;
pain;;
qu';;
on;;
me;;
donne;;
.;;
"

";;
—;;
Eh;;
bien;;
!;;
la;;
dame;;
qui;;
a;;
perdu;;
ce;;
joyau;;
en;;
"
";;
est;;
en;;
peine;;
";";;
elle;;
le;;
regrette;;
comme;;
tu;;
regretterais;;
"
";;
ton;;
bissac;;
.;;
Dès;;
que;;
nous;;
saurons;;
où;;
elle;;
demeure;;
;;
"
";;
nous;;
le;;
lui;;
reporterons;;
.;;
»;;
"

";;
Quand;;
elles;;
furent;;
rentrées;;
chez;;
la;PER;
mère;PER;
Nan-;PER;
"
";;
nette;PER;
;;
elles;;
lui;;
montrèrent;;
ce;;
qu';;
elles;;
avaient;;
"
";;
trouvé;;
et;;
lui;;
demandèrent;;
si;;
elle;;
savait;;
qui;;
pou-;;
"
";;
vait;;
avoir;;
perdu;;
un;;
si;;
beau;;
bijou;;
.;;
"

";;
«;;
Ce;;
ne;;
peut;;
être;;
que;;
Mme;PER;
Dumont;PER;
";";;
il;;
n';;
y;;
a;;
"
";;
qu';;
elle;;
dans;;
le;;
pays;;
qui;;
porte;;
des;;
choses;;
pareilles;;
.;;
"
";;
Elle;;
demeure;;
dans;;
le;;
voisinage;;
;;
derrière;;
les;;
beaux;;
"
";;
arbres;;
que;;
l';;
on;;
voit;;
d';;
ici;;
.;;
Il;;
faut;;
aller;;
le;;
lui;;
repor-;;
"
";;
ter;;
tout;;
de;;
suite;;
;;
si;;
vous;;
n';;
êtes;;
point;;
trop;;
lasses;;
";";;
"
";;
je;;
suis;;
sûre;;
qu';;
elle;;
en;;
est;;
fort;;
inquiète;;
.;;
"

";;
—;;
Je;;
suis;;
trop;;
fatiguée;;
pour;;
marcher;;
encore;;
";";;
"
";;
mais;;
demain;;
matin;;
j';;
irai;;
chez;;
cette;;
dame;;
avec;;
"
";;
Jeanne;PER;
;;
et;;
je;;
lui;;
rendrai;;
ce;;
qui;;
est;;
à;;
elle;;
.;;
Comme;;
"

";;
10;;
PRENIÈRE;;
PARTIE;;
.;;
"

";;
on;;
nous;;
à;;
beaucoup;;
donné;;
aujourd'hui;;
et;;
que;;
je;;
"
";;
suis;;
très;;
-0;;
nsse;;
;;
je;;
me;;
reposerai;;
demain;;
toute;;
la;;
"
";;
journéo;;
;;
pour;;
avoir;;
là;;
force;;
d';;
aller;;
samedi;;
dans;;
"
";;
notre;;
village;;
;;
prier;;
maîtra;PER;
Guillaume;PER;
de;;
m';;
appor-;;
"

";;
ter;;
mon;;
lit;;
.;;
»;;
"

";;
Catherine;PER;
et;;
sa;;
fille;;
repertent;;
le;;
bracelst;;
.;;
"

";;
Le;;
lendemain;;
matin;;
;;
Catherine;PER;
poigna;;
les;;
"
";;
grands;;
choveux;;
noirs;;
de;;
sa;;
petite;;
fille;;
avec;;
encore;;
"
";;
plus;;
de;;
soin;;
qu';;
à;;
l';;
ordinaire;;
";";;
elle;;
lui;;
lava;;
le;;
vi-;;
"
";;
sage;;
et;;
les;;
mains;;
;;
l';;
habilla;;
le;;
plus;;
proprement;;
"
";;
qu';;
elle;;
le;;
put;;
;;
et;;
elles;;
partirent;;
pour;;
aller;;
chez;;
"
";;
Manc;PER;
Dumont;PER;
.;;
"

";;
Elles;;
arrivèrent;;
devant;;
une;;
grille;;
qui;;
servait;;
de;;
"
";;
porte;;
à;;
un;;
beau;;
jardin;;
";";;
mais;;
;;
comme;;
il;;
n';;
y;;
avait;;
"
";;
personne;;
;;
Catherine;PER;
suivit;;
le;;
mur;;
et;;
vit;;
une;;
grande;;
"
";;
porte;;
qui;;
donnait;;
dans;;
la;;
cour;;
et;;
qui;;
était;;
ouverte;;
.;;
"
";;
Une;;
servante;;
;;
qui;;
l';;
aperçut;;
;;
lui;;
apporta;;
un;;
mor-;;
"
";;
ceau;;
de;;
pain;;
et;;
deux;;
sous;;
.;;
"

";;
«;;
Merci;;
;;
mademoiselle;;
;;
dit;;
Catherine;PER;
";";;
mais;;
je;;
"
";;
voudrais;;
parler;;
à;;
votre;;
dame;;
.;;
"

";;
—;;
Ma;;
pauvre;;
femme;;
;;
on;;
ne;;
peut;;
guère;;
la;;
voir;;
"
";;
à;;
cette;;
heure;;
-0;;
ci;;
.;;
"

";;
—;;
Eh;;
bien;;
!;;
voulez;;
-vous;;
lui;;
demander;;
si;;
c';;
est;;
"
";;
elle;;
qui;;
a;;
perdu;;
ce;;
que;;
j';;
ai;;
trouvé;;
hier;;
sur;;
la;;
"
";;
grande;;
route;;
?;;
»;;
"

";;
Et;;
elle;;
montra;;
le;;
bijou;;
;;
qu’;;
elle;;
avait;;
enveloppé;;
"

";;
d';;
un;;
chiffon;;
bien;;
blane;;
.;;
.;;
"
";;
«;;
Justement;;
!;;
c’;;
est;;
le;;
bracelet;;
que;;
madame;;
a;;
"

";;
perdu;;
hier;;
en;;
se;;
promenant;;
avec;;
les;;
enfants;;
!;;
Elle;;
"
";;
va;;
être;;
bien;;
contente;;
de;;
le;;
retrouver;;
";";;
car;;
nous;;
"

 

";;
ENFANCE;;
DE;;
JEANNS;PER;
.;;
li;;
"

";;
l';;
avons;;
cherché;;
jusqu';;
à;;
là;;
nuit;;
.;;
Je;;
vais;;
le;;
lui;;
por-;;
"
";;
ter;;
:;;
en;;
attendant;;
;;
ma;;
brave;;
femme;;
;;
asseyez;;
-vous;;
"
";;
sur;;
le;;
bane;;
.;;
Petite;;
;;
viens;;
avee;;
moi;;
;;
tu;;
rendras;;
"
";;
