Token;Label;Quaero;Correction
a-;;;
"
";;;
vait;;;
qe;ORG;;NA
bien;;;
juste;;;
ee;;;
qu';;;
il;;;
lui;;;
fllait;;;
pour;;;
vire;LOC;;NA
.;;;
PREMIIRR;MISC;;NA
PAHR;MISC;;NA
.;;;
"
";;;
lla;;;
samait;;;
du;;;
fromant;;;
daux;;;MISC
anneas;;;MISC
de;;;MISC
suite;;;MISC
dans;;;
"
";;;
eon;PER;;NA
ehamp;PER;loc.phys.geo;LOC
,;;;
gqui;;;
,;;;
la;;;
troisime;;;
,;;;
rapportait;;;
alterna-;;;
"
";;;
tivement;;;
du;;;
trbfle;;;
et;;;
des;;;
pmmes;;;
do;;;
tenre;;;
.;;;
Klle;PER;;NA
"
";;;
resoltait;;;
asse;;;
de;;;
hl6;LOC;;NA
pour;;;
so;;;
nourrir;;;
pondant;;;
-;;;
les;;;
"
";;;
trois;;;
ans;;;
.;;;
ais;;;
si;;;
lanne;PER;;NA
atait;PER;;NA
mauvaise;PER;;NA
,;;;
la;;;PER
mbre;;;PER
"
";;;
Nannetts;LOC;;PER
venduit;;;
la;;;
pibce;;;
de;;;
toile;;;
quelle;;;
avait;;;
fait;;;
"
";;;
faire;;;
aveoe;;;
le;;;
ohanvre;;;
amass;;;
et;;;
fll6;MISC;;NA
pandant;MISC;;NA
quuatra;;;
"
";;;
uns;;;
.;;;
Largent;;;
quella;;;
en;;;
retirait;;;
lui;;;
servait;;;
a;;;
com-;;;
"
";;;
plter;;;
sa;;;
provision;;;
de;;;
bl6;LOC;;NA
";";;;
et;;;
,;;;
mlgr6;;;
tout;;;
cela;;;
,;;;
"
";;;
elle;;;
ptiassit;;;
bien;;;
un;;;
peu;;;
l';;;
hiver;;;MISC
.;;;
"
";;;
Pour;;;
que;;;
In;MISC;loc.phys.geo;LOC
terre;MISC;loc.phys.geo;LOC
rapporte;;;
chaque;;;
annee;;;
sans;;;
"
";;;
se;;;
reposer;;;
,;;;
il;;;
faut;;;
baaucoup;;;
de;;;
fumier;;;
";";;;
la;;;PER
mre;;;PER
"
";;;
Nannette;LOC;;PER
,;;;
qui;;;
le;;;
savait;;;
bien;;;
,;;;
avait;;;
une;;;
vache;;;
et;;;
"
";;;
une;;;
ohbvre;;;
quelle;;;
menait;;;
paltre;;;
sur;;;
les;;loc.phys.geo;LOC
commu-;;loc.phys.geo;LOC
"
";;loc.phys.geo;LOC
naux;;;
et;;;
le;;;
long;;;
des;;;
haies;;;
.;;;
Avee;LOC;;NA
leur;;;
lait;;;
elle;;;
faisait;;;
"
";;;
du;;;
beurre;;;
et;;;
des;;;
fromages;;;
,;;;
quelle;;;
vendait;;;
h;;;
la;;;
"
";;;
ville;;;
voisine;;;
.;;;
Quand;;;
ses;;;
b8tes;;;
etaient;;;
rentres;;;
"
";;;
l6table;;;
,;;;
elle;;;
allait;;;
chereher;LOC;;NA
pour;;;
elles;;;
de;;;
lherhe;;;
"
";;;
dans;;;
les;;loc.phys.geo;LOC
ehamps;;loc.phys.geo;LOC
et;;;
au;;;
bord;;;
des;;loc.phys.geo;LOC
ruisseaux;;loc.phys.geo;LOC
.;;;
Commae;LOC;;NA
"
";;;
elle;;;
les;;;
tenait;;;
bien;;;
proprement;;;
,;;;
elles;;;
etaient;;;
en;;;
bon;;;
"
";;;
6tat;;;
.;;;
Lhiver;;;MISC
,;;;
elles;;;
mangeaient;;;
ou;;;
du;;;
trfle;PER;;NA
qui;;;
"
";;;
avait;;;
6te;;;
rentr6;;;
bien;;;
seo;;;
,;;;
ou;;;
du;;;
regain;;;
recolt6;;;
aprs;;;
"
";;;
li;PER;;NA
fuche;PER;;NA
des;;;
grands;;;
foins;;;
.;;;
"
";;;
lLa;;;PER
mbre;;;PER
Nannette;LOC;;PER
vendait;;;
son;;;
vin;;;
et;;;
ne;;;
buvait;;;
"
";;;
que;;;
sa;;;
boisson;;;
';;;
";";;;
mais;;;
,;;;
comme;;;
l';;;
argent;;;
qu';;;
ella;;;
ti-;;;
"
";;;
rait;;;
de;;;
son;;;
vin;;;
suffisait;;;
bien;;;
juste;;;
,;;;
aveo;;;
oelui;;;
de;;;
"
";;;
son;;;
beurre;;;
et;;;
de;;;
ses;;;
fremages;;;
,;;;
a;;;
payer;;;
l';;;
imp6;;;
t;;;
et;;;
"
";;;
les;;;
fagons;;;
de;;;
son;;loc.phys.geo;LOC
ehamp;;loc.phys.geo;LOC
et;;;
de;;;
savigne;LOC;;NA
,;;;
at;;;
qu';;;
il;;;
lui;;;
"
";;;
fllait;;;
oneore;;;
se;;;
procurer;;;
quelque;;;
argent;;;
pour;;;
son;;;
"
";;;
entretien;;;
,;;;
elle;;;
levait;;;
des;;;
oisons;;;
quelle;;;
achetait;;;
"
";;;
1;;;
.;;;
Hau;;;
passee;;;
sur;;;
la;;;
rpe;;;
ou;;;
lo;;;
maro;;;
de;;;
la;;;
vandlange.-RNANOE;;;
DE;PER;;NA
JRANNI;PER;;
.;;;
"
";;;
au;;;
sortir;;;
de;;;
Ia;LOC;;NA
eoquo;;;
.;;;
Elle;;;
se;;;
donnait;;;
heaueoup;;;
da;;;
"
";;;
mal;;;
pour;;;
uppter;PER;;NA
ces;;;
petites;;;
htas;LOC;;NA
et;;;
pour;;;
les;;;
"
";;;
garantir;;;
du;;;
froid;;;
pondant;;;
la;;;
nuit;;;
.;;;
Ses;;;
voisines;;;
"
";;;
plumaient;;;
leurs;;;
oioes;;;
quatre;;;
fois;;;
avant;;;
de;;;
les;;;
ven-;;;
"
";;;
LL;ORG;;NA
"
";;;
l;;;
"
";;;
II;PER;;NA
"
";PER;;NA
II;PER;;NA
"
";PER;;NA
I;PER;;NA
"
";PER;;NA
I;PER;;NA
"
";PER;;NA
IIF;PER;;NA
"

";PER;;NA
M;PER;;NA
"
";PER;;NA
ii;PER;;NA
"

";PER;;NA
I;PER;;NA
"
";PER;;NA
I;PER;;NA
"

";PER;;NA
II;PER;;NA
"
";PER;;NA
E;PER;;NA
"
";PER;;NA
E;PER;;NA
"

";PER;;NA
g;PER;;NA
"

";;;
Chamnnlhrs;LOC;;NA
de;;;
ta;;;PER
mn;;;PER
Mamnnetta;ORG;;PER
"
";ORG;;NA
dre;ORG;;NA
";";;;
mais;;;
la;;;PER
mere;;;PER
Nannette;LOC;;PER
disait;;;
que;;;
eetait;;;
une;;;
"
";;;
mauvaise;;;
m6thode;;;
,;;;
paree;;;
qu';;;
ainsi;;;
la;;;
plume;;;
n';;;
a-;;;
"
";;;
vait;;;
pas;;;
le;;;
temps;;;
de;;;
se;;;
nourrir;;;
,;;;
et;;;
elle;;;
ne;;;
plumait;;;
"
";;;
les;;;
siennes;;;
que;;;
trois;;;
fois;;;
";";;;
puis;;;
elle;;;
en;;;
vendait;;;
la;;;
"
";;;
moitie;;;
pour;;;
la;;;
Toussaint;PER;;MISC
et;;;
l';;;
antre;;;
moiti6;;;
a;;;
Noel.rREMII;LOC;;MISC
PMRTIR;LOC;;NA
.;;;
"
";;;
Tout;;;
cela;;;
na;;;
lui;;;
ruapportuait;;;
pus;;;
une;;;
grasse;;;
aomma;;;
";";;;
];;;
"
";;;
mais;;;
elle;;;
6tait;;;
si;;;
m6nagbre;;;
qu';;;
il;;;
lui;;;
restait;;;
touours;;;
];;;
"
";;;
un;;;
peu;;;
dargent;;;
a;;;
la;;;
fin;;;
de;;;
lann6e;;;
.;;;
Pourtnt;;;
ella;;;
];;;
"
";;;
ne;;;
so;;;
nourrissait;;;
pas;;;
trop;;;
mal;;;
,;;;
diaant;;;
quella;;;
];;;
"
";;;
aimait;;;
mieux;;;
donner;;;
au;;;
bouher;MISC;;NA
uno;MISC;;NA
pibdeoe;MISC;;NA
de;;;
];;;
"
";;;
oinquanta;LOC;;NA
entimes;;;
toutaes;;;
las;;;
semaines;;;
,;;;
que;;;
vingt-;;;MISC
];;;
"
";;;
ein;;;MISC
franes;;;MISC
par;;;
an;;;
au;;;PER
mdecin;;;PER
et;;;
au;;;PER
pharmaeien;;;PER
.;;;
];;;
"
";;;
Cuthorine;PER;;
et;;;
eanne;;;PER
.;;;
"
";;;
Un;;;
mutin;;;
,;;;
la;;;PER
mbre;MISC;;PER
Nannette;MISC;;PER
,;;;
tricotant;;;
devant;;;
sa;;;
];;;
"
";;;
porte;;;
,;;;
vit;;;
venir;;;
h;;;
lle;;;
une;;;
jeune;;;
femme;;;
qui;;;
tenait;;;
];;;
"
";;;
par;;;
la;;;
main;;;
une;;;
petite;;;
flllo;;;
de;;;
sept;;;
h;;;
huit;;;
ans;;;
et;;;
];;;
"
";;;
ui;;;
lui;;;
demanda;;;
un;;;
moreeau;PER;;NA
de;PER;;NA
puin;PER;;NA
.;;;
Comme;;;
cette;;;
];;;
"
";;;
femme;;;
6tait;;;
trs;LOC;;NA
-;LOC;;NA
ple;LOC;;NA
et;;;
avait;;;
lair;;;
malade;;;
,;;;
Ia;PER;;PER
mre;PER;;PER
];;;
"
";;;
Nannette;LOC;;PER
l';;;
emmena;;;
dans;;;
sa;;;
maison;;;
et;;;
la;;;
fit;;;
asseoir;;;
.;;;
];;;
"
";;;
llo;PER;;NA
ralluma;;;
son;;;
feu;;;
,;;;
fit;;;
r6chauffr;;;
un;;;
reste;;;
de;;;
];;;
"
";;;
soupo;;;
quelle;;;
avait;;;
gard6;;;
pour;;;
son;;;
repas;;;
du;;;
soir;;;
et;;;
];;;
"
";;;
le;;;
donna;;;
aux;;;
deux;;;
mendiantes;;;
.;;;
Lenfant;PER;;NA
mangea;;;
];;;
"
";;;
de;;;
sihon;PER;;NA
cur;PER;;NA
,;;;
que;;;
la;;;PER
mbre;MISC;;PER
Nannette;MISC;;PER
vit;;;
bien;;;
que;;;
];;;
"
";;;
cette;;;
petite;;;
fille;;;
n';;;
avait;;;
pas;;;
souvent;;;
si;;;
bonne;;;
];;;
"
";;;
chance;;;
.;;;
Ensuite;;;
elle;;;
leur;;;
versa;;;
un;;;
verre;;;
de;;;
boisson;;;
];;;
"
 ";;;
cehaeune;PER;;NA
,;;;
et;;;
dit;;;
a;;;
la;;;
pauvre;;;
femme;;;
:;;;
"
";;;
a;;;
Mon;MISC;;PER
Dien;MISC;;PER
1;MISC;;NA
il;;;
faut;;;
qu';;;
il;;;
vous;;;
soit;;;
arriv6;MISC;;NA
un;;;
"
";;;
bien;;;
grand;;;
malheur;;;
,;;;
pourqu';;;
une;;;
femme;;;
,;;;
aussi;;;
jeune;;;
];;;
"
";;;
que;;;
vous;;;
,;;;
ait;;;
pu;;;
se;;;
deider;;;
a;;;
demander;;;
son;;;
pain;;;
l;;;
];;;
"
";;;
-;;;
Ohl;PER;;NA
oui;;;
,;;;
un;;;
bien;;;
grand;;;
malheur;;;
,;;;
ma;;;
hbre;;;
];;;
"
";;;
femme;;;
.;;;
Il;;;
faut;;;
se;;;
trouver;;;
depourvue;;;
de;;;
toute;;;
res-;;;
];;;
"
";;;
souree;;;
pour;;;
se;;;
rsoudre;;;
a;;;
en;;;
venir;;;
lhi;;;
.;;;
J';;;
ai;;;
biaen;;;
];;;
"
";;;
soufftert;;;
de;;;
la;;;
faim;;;
avant;;;
de;;;
pouvoir;;;
me;;;
decider;;;
a;;;
"
";;;
ieudre;;;
la;;;
main;;;
";";;;
je;;;
ereis;;;
que;;;
je;;;
ms;;;
serais;;;
plutdt;PER;;NA
"
";PER;;NA
Iaisse;PER;;NA
mourir;;;
,;;;
si;;;
je;;;
n';;;
avais;;;
la;;;
erainte;;;
de;;;
Dieu;MISC;;PER
et]NFANGR;;;
DR;PER;;NA
JEANNE;PER;;
,;;;
"
";;;
si;;;
jo;PER;;NA
n';;;
aimaia;;;
tant;;;
aett;;;
pauvr;;;
ianaeente;;;PER
que;;;
vaili;PER;;NA
,;;;
"
";;;
at;;;
qui;;;
serait;;;
morte;;;
aussi;;;
.;;;
Quand;;;
il;;;
mn;;;
oote;;;
.;;;
"

";;;
-;;;
"
";;;
(;;;
--;;;
"
";;;
---;;;
.;;;
"
";;;
z;;;
';;;
"
";;;
.;;;
"
";;;
Wl;LOC;;NA
"
";;;
.ei;;;
"
";;;
E;LOC;;NA
"
";;;
--;;;
.;;;
"
";;;
L;;;
"
";;;
-;;;
"
";;;
:;;;
:;;;
"
";;;
-F;;;
"

";;;
g;;;
"
";;;
t;;;
';;;
"
";;;
:;;;
i;;;
"
";;;
kI;LOC;;NA
"

";LOC;;NA
a;;;
"

";;;
`;;;
"

";;;
.;;;
"
";;;
u.;;;
"
";;;
5V;;;
"
";;;
LiI;PER;;NA
"

";;;
:;;;
"
";;;
ZAY;MISC;;NA
"
";;;
:;;;
"
";;;
il;;;
"
";;;
HI;;;
"
";;;
IE;MISC;;NA
"
";;;
.;;;
"
";;;
.;;;
"
";;;
L;;;
"
";;;
-;;;
"
";;;
=;;;
..;;;
"
";;;
H;PER;;NA
"

";PER;;NA
.Eee-;PER;;NA
"

";PER;;NA
I;PER;;NA
"
";PER;;NA
H;PER;;NA
"
";PER;;NA
E;PER;;NA
"

";PER;;NA
E;PER;;NA
"
";;;NA
EER;ORG;;NA
"




";;;
g;;;
"

";;;
R;;;
"
";;;
atherine;;;PER
at;;;
eame;;;PER
.;;;
"
";;;
trop;;;
pour;;;
aller;;;
demander;;;
,;;;
je;;;
la;;;
regarde;;;
et;;;
je;;;
re-;;;
"
";;;
prends;;;
eourage;;;
.;;;
C';;;
est;;;
bien;;;
triste;;;
,;;;
alles;;;
,;;;
ma;;;
chre;;;
"
";;;
femme;;;
,;;;
quand;;;
on;;;
a;;;
du;;;
ceur;;;
,;;;
de;;;
vivre;;;
en;;;
nePMIR;;;
PARTIR;MISC;;NA
.;;;
"
";;;
fisant;PER;;NA
rin;PER;;NA
,;;;
aux;;;
d6pana;;;
da;;;
ux;;;
qui;;;
truavaillentl;;;
"
";;;
mais;;;
];;;
e;;;
n;;;
pux;;;
mpus;;;
ifire;;;
uutramnt;;;
.;;;
"
";;;
-;;;
Pourquaoi;;;
dana;;;
?;;;
dit;;;
la;;;PER
mbre;;;PER
Nannatte;;;PER
.;;;
Cun-;ORG;;NA
"
";;;
t;;;
-;;;
mOi;;;
g.;LOC;;NA
n;;;
"
";;;
la;;;
puuvra;PER;;NA
famma;PER;;NA
dit;;;
a;;;
la;;;PER
mra;;;PER
Nunnatta;LOC;;PER
:;;;
"
 ";;;
le;;;
suis;;;
du;;;
villag;;;
qui;;;
est;;;
auprbs;;;
du;;;
Cher;LOC;loc.phys.hydro;LOC
,;;;
h;;;
"
";;;
wias;PER;;NA
lieuss;PER;;NA
d';PER;;NA
iei;PER;;NA
.;;;
Il;;;
y;;;
a;;;
deux;;;
mois;;;
,;;;
joi;PER;;NA
pertu;PER;;NA
"
";PER;;NA
mno;PER;;NA
mari;;;
i;;;
la;;;
suita;;;
duna;;;
groso;PER;;NA
mualadia;PER;;NA
qui;;;
l';;;
n;;;
"
";;;
retenu;;;
au;;;
lit;;;
penlant;;;
bion;PER;;NA
longtmps;PER;;NA
.;;;
I';;;
ai;;;
vandu;;;
"
";;;
tout;;;
co;;;
quo;;;
vais;;;
afin;;;
do;;;
pouvoir;;;
lo;;;
soigner;;;
.;;;
"
";;;
uand;;;
il;;;
ny;;;
a;;;
plus;;;
rion;LOC;;NA
u;LOC;;NA
ala;LOC;;NA
muison;LOC;;NA
qua;LOC;;NA
lo;LOC;;NA
lit;;;
"
";;;
sur;;;
laquel;;;
il;;;
6tait;;;
eoueh6;;;
,;;;
il;;;
a;;;
bin;PER;;NA
fallu;;;
s';;;
andettor;;;
.;;;
"
";;;
Apres;LOC;;NA
su;;;
mort;;;
,;;;
on;;;
a;;;
vendu;;;
la;;;
maison;;;
,;;;
lo;;;
jardin;;;
,;;;
"
";;;
la;;;
chbnevibre;LOC;;NA
,;;;
onfin;;;
tout;;;
,;;;
pour;;;
payer;;;
le;;;
decin;;;
"
";;;
et;;;
les;;;
autres;;;
,;;;
et;;;
je;;;
ne;;;
sais;;;
plus;;;
oi;;;
me;;;
retirer;;;
,;;;
On;MISC;;NA
"
";MISC;;NA
no;MISC;;NA
veut;MISC;;NA
pas;MISC;;NA
me;MISC;;NA
louer;MISC;;NA
,;;;
meme;;;
une;;;
petite;;;
chambre;;;
,;;;
"
";;;
psree;;;
que;;;
je;;;
n';;;
ai;;;
pas;;;
de;;;
mobilier;;;
pour;;;
repondro;;;
"
";;;
du;;;
loyer;;;
.;;;
Je;;;
couehe;;;
avee;;;
ma;;;
petite;;;PER
lehnno;;;PER
dans;;;
les;;;
"
";;;
granges;;;
,;;;
quand;;;
on;;;
veut;;;
bien;;;
m';;;
y;;;
souffrir;;;
,;;;
ou;;;
bion;;;
"
";;;
sur;;;
les;;;
tas;;;
de;;;
ehaume;PER;;
.;;;
C';;;
est;;;
bon;;;
 ;;;
prsent;;;
qu';;;
il;;;
"
";;;
fait;;;
chaud;;;
";";;;
mais;;;
plus;;;
tard;;;
,;;;
eomment;;;
faire;;;
aves;;;
"
";;;
ett;;;
nfnt;;;
,;;;
mei;PER;;NA
 ;PER;;NA
i;PER;;NA
ses;;;
medesins;;;
ont;;;
d6fendu;PER;;NA
"
";;;
de;;;
sortir;;;
pendant;;;
tout;;;
l';;;
hiver?s;MISC;;MISC
"
";;;
Et;MISC;;NA
la;MISC;;NA
pauvre;MISC;;NA
malheureus;MISC;;NA
se;;;
mit;;;
 ;;;
pleurer;;;
.;;;
Sa;;;
"
";;;
petite;;;
fille;;;
pleura;;;
aussi;;;
en;;;
lembrassant;;;
.;;;
Elle;;;
avait;;;
"
";;;
l';;;
air;;;
si;;;
doux;;;
et;;;
si;;;
aimable;;;
,;;;
cette;;;
petite;;;
,;;;
que;;;
la;;;PER
"
";;;
mre;;;PER
Nannette;LOC;;PER
sentit;;;
fondre;;;
son;;;
ceur;;;
en;;;
pensant;;;
"
 ";;;
la;;;
misbre;;;
qu';;;
elle;;;
ondurerait;;;
quand;;;
l';;;
hiver;;;
serait;;;
];;;
"
";;;
venu;;;
.;;;
Aussitdt;PER;;NA
il;;;
lui;;;
vint;;;
dans;;;
lid6a;;;
de;;;
faire;;;
une;;;
];;;
"
";;;
honne;;;
action;;;
.;;;
MNANY;PER;;NA
D;PER;;NA
JRANNR;PER;;
.;;;
"
";;;
a;;;PER
mro;;;PER
annette;;;PER
donno;;;
asllo;;;
a;;;
atherino;;;PER
.;;;
"
";;;
a;;;
Commant;PER;;NA
vous;;;
uppele;;;
-;;;
vaoua;;;
dona;;;
t;;;
demandu;;;
"
";;;
ln;;;PER
mra;;;PER
Nannaetto;ORG;;PER
.;;;
"
";;;
-;;;
On;;;
m';;;
apalla;;;
Cathrine;PER;;
Iblano;PER;;
.;;;
"
";;;
-;;;
h;;;
bionl;;;
Ctharino;;;PER
,;;;
];;;
';;;
ai;;;
lh;;;
un;;;
vieux;;;
lit;;;
,;;;
una;;;
"
";;;
puillasse;LOC;;NA
at;LOC;;NA
une;LOC;;NA
oouverture;LOC;;NA
";";;;
si;;;
vots;PER;;NA
voule;PER;;NA
rester;;;
"
";;;
lei;;;
,;;;
ja;;;
vous;;;
logerai;;;
da;;;
bion;PER;;NA
hon;PER;;NA
eur;PER;;NA
oet;PER;;NA
jae;PER;;NA
vous;;;
"
";;;
asoiguerai;;;
do;;;
man;;;
mieux;;;
,;;;
ainsi;;;
quo;;;
votre;;;
petite;;;
";";;;
"
";;;
i';;;
aime;;;
heaueoup;LOC;;NA
les;;;
enfants;;;
";";;;
j';;;
en;;;
ai;;;
eu;;;
quuatre;PER;;NA
,;;;
"
";;;
que;;;
lo;PER;;
hon;PER;;
bDieu;PER;;
m';;;
a;;;
retir6s;;;
,;;;
et;;;
je;;;
suis;;;
bien;;;
seule;;;
"
";;;
u;PER;;NA
mnonde;PER;;NA
.;;;
"
";;;
-;;;
Grund;;;
meroil;;;
ma;;;
brave;;;
fomme;;;
";";;;
vous;;;
me;;;
"
";;;
rendrez;;;
l;;;
un;;;
service;;;
qui;;;
nous;;;
suuvera;;;
lu;;;
vie;;;
i;;;
moi;;;
"
";;;
et;;;
u;;;
mon;;;
enfant;;;
.;;;
';;;
ai;;;
encore;;;
mon;;;
lit;;;
,;;;
svee;PER;;NA
un;;;
"
";;;
eoffre;;;
et;;;
une;;;
petite;;;
chaise;;;
.;;;
Muttre;PER;;
Guillaume;PER;;
,;;;
le;;;
"
";;;
eousin;;;
de;;;
feu;;;
mon;;;
pauvre;;;
homme;;;
,;;;
me;;;
les;;;
garde;;;
"
";;;
tluns;;;
sa;;;
grange;;;
";";;;
il;;;
me;;;
les;;;
apportera;;;
bien;;;
diman-;;;
"
";;;
che;;;
.;;;
Si;;;
vous;;;
me;;;
logez;;;
avee;;;
mon;;;
ch6tif;;;
mobilier;;;
,;;;
je;;;
"
";;;
vous;;;
donnerai;;;
les;;;
sous;;;
que;;;
je;;;
ramasserai;;;
en;;;
allant;;;
"
";;;
aux;;;
portes;;;
.;;;
"
";;;
-;;;
Je;;;
ne;;;
vous;;;
demande;;;
rien;;;
,;;;
Catherine;PER;;
";";;;
j';;;
aime;;;
"
";;;
dj;;;
votre;;;
petite;;;PER
Jeanne;PER;;
et;;;
j';;;
en;;;
aurai;;;
bien;;;
soin;;;
.;;;
"
";;;
Dieu;MISC;;PER
veut;;;
que;;;
nous;;;
fassions;;;
aux;;;
autres;;;
ce;;;
que;;;
"
";;;
nous;;;
voudrions;;;
que;;;
les;;;
autres;;;
fissent;;;
pour;;;
nous;;;
";";;;
"
";;;
et;;;
si;;;
j6tais;;;
dans;;;
votre;;;
position;;;
,;;;
jo;PER;;NA
serais;;;
bien;;;
"
";;;
heureuse;;;
de;;;
trouver;;;
quelqu';;;
un;;;
qui;;;
voult;PER;;NA
me;;;
re-;;;
"
";;;
cevoir;;;
dans;;;
sa;;;
maison;;;
.;;;
"
";;;
,;;;
";";;;
Peeeeeeea;MISC;;NA
"
";;;
a;;;
Mamanl;PER;;
il;;;
ne;;;
faut;;;
plus;;;
pleurer;;;
,;;;
n;;;
lui;;;
dit;;;
-;;;
elle;;;
.;;;
MIR;MISC;;NA
PARTIR;MISC;;NA
.;;;
"
";;;
Puis;;;
,;;;
sa;;;
tournant;;;
du;;;
ohta;;;
da;;;
la;;;PER
mra;MISC;;PER
Nanntte;MISC;;PER
,;;;
"
";;;
olla;;;
dit;;;
an;;;
huiaasunt;;;
la;;;
tta;LOC;;NA
:;;;
"
";;;
a;;;
lo;;;
vudrais;;;
hian;;;
vous;;;
amhrasser;;;
atussi;;;
,;;;
"
";;;
In;LOC;;PER
mbra;;;PER
Nannaetta;PER;;PER
la;;;
prit;;;
sur;;;
ses;;;
genoux;;;
at;;;
l';;;
am-;;;
"
";;;
bruasu;;;
de;;;
bon;;;
eur;;;
.;;;
"
";;;
atherina;;;PER
at;;;
Jaanne;;;PER
trouvant;;;
un;;;
raeelet;;;
.;;;
"
";;;
Aprbs;PER;;NA
qua;PER;;NA
lu;;;
mbre;;;
et;;;
la;;;
fllla;PER;;NA
asa;PER;;NA
furont;PER;;NA
rensies;;;
,;;;
"
";;;
elles;;;
so;;;
rmnirut;;;
an;;;
chomin;;;
pour;;;
llr;;;
eherehe;;;
"
";;;
leur;;;
puin;PER;;NA
dunas;PER;;NA
la;PER;loc.phys.geo;LOC
campugne;PER;loc.phys.geo;LOC
,;;;
en;;;
diant;;;
qu';;;
olla;;;
"
";;;
reviondraiant;;;
lo;;;
soir;;;
.;;;
Commo;PER;;NA
on;;;
tuit;;;
dans;;;
lu;;;
asui-;;;
"
";;;
son;;;
des;;;
prune;;;
aet;;;
des;;;
groseilles;;;
,;;;
la;;;PER
mire;;;PER
Nannetta;MISC;;PER
"
";;;
an;;;
alla;;;
eueillir;;;
au;;;
iardin;PER;;NA
oet;PER;;NA
les;;;
mit;;;
dans;;;
le;;;
bissue;;;
"
";;;
lo;PER;;NA
leann;PER;;
,;;;
pour;;;
quelle;;;
pt;ORG;;NA
se;;;
rafralehir;;;
quand;;;
"
";;;
olle;;;
aurait;;;
trop;;;
eluul;MISC;;NA
.;;;
"
";;;
Comme;;;
ellos;;;
truaversuaient;;;
la;;;
grande;;;
route;;;
pour;;;
"
";;;
revenir;;;
chez;;;
la;;;PER
mere;;;PER
Nannette;LOC;;PER
,;;;
apres;;;
avoir;;;
achev;;;
"
";;;
leur;;;
tournee;;;
,;;;
la;;;PER
petite;;;PER
Jeanne;PER;;PER
vit;;;
briller;;;
un;;;
objet;;;
"
";;;
au;;;
soleil;;;
";";;;
elle;;;
courut;;;
le;;;
ruamasser;;;
et;;;
lapportau;;;
"
";;;
joyeusement;;;
a;;;
sa;;;
mere;;;
.;;;
"
";;;
a;;;
Voyez;PER;;NA
done;PER;;NA
,;;;
maman;;;PER
,;;;
le;;;
joli;;;
eollier;;;
que;;;
jai;;;
"
";;;
trouv6;;;
";";;;
je;;;
le;;;
mettrai;;;
dimanche;;;MISC
 ;;;
mon;;;
cou;;;
"
";;;
-;;;
Ma;;;PER
fille;;;PER
,;;;
ceei;;;
est;;;
un;;;
bijou;;;
qui;;;
se;;;
,;;;
porte;;;
au-;;;
"
";;;
tour;;;
du;;;
bras;;;
et;;;
quon;PER;;NA
appelle;;;
braeelet;;;
.;;;
Il;;;
n';;;
est;;;
pas;;;
"
";;;
A;LOC;;NA
nous;;;
,;;;
et;;;
nous;;;
ne;;;
