Token;Label;AA_Correction;AA_Quaero;CF_Correction;CF_Quaero;CKP_Correction;CKP_Quaero;DN_Correction;DN_Quaero;LM_Correction;LM_Quaero;MB_Correction;MB_Quaero
carmélites;LOC;ORG;;;loc.adm.town;;loc.fac;;loc.fac;;loc.fac;NA;
et;;;;;;;;;;;;;
deux;;;;;;;;;;;;;
ou;;;;;;;;;;;;;
trois;;;;;;;;;;;;;
monuments;;;;;;MISC;;LOC;loc.fac;;;;
romains;;;;;;MISC;;;;;;;
.;;;;;;;;;;;;;
"
";;;;;;;;;;;;;
Mon;;;;;;;;;;;;;
père;;;;;;PER;;;;;;;
0;;;;;;;;;;;;;
M.;PER;NA;;;;;;;;;;;
Eyssette;PER;;;;;;;;;;;;
0;;;;;;;;;;;;;
qui;;;;;;;;;;;;;
faisait;;;;;;;;;;;;;
à;;;;;;;;;;;;;
cette;;;;;;;;;;;;;
époque;;;;;;;;;;;;;
le;;;;;;;;;;;;;
commerce;;;;;;;;;;;;;
des;;;;;;;;;;;;;
foulards;;;;;;;;;;;;;
0;;;;;;;;;;;;;
avait;;;;;;;;;;;;;
0;;;;;;;;;;;;;
aux;;;;;;;;;;;;;
portes;;;;;;;;LOC;loc.adm.town;;;;
de;;;;;;;;LOC;loc.adm.town;;;;
la;;;;;;;;LOC;loc.adm.town;;;;
ville;;;;;;;;LOC;loc.adm.town;;;;
0;;;;;;;;;;;;;
une;;;;;;;;;;;;;
grande;;;;;;;;;;;;;
fabrique;;;;;;LOC;loc.fac;LOC;loc.fac;;;;
dans;;;;;;;;;;;;;
un;;;;;;;;;;;;;
pan;;;;;;;;;;;;;
de;;;;;;;;;;;;;
laquelle;;;;;;;;;;;;;
il;;;;;;;;;;;;;
s';;;;;;;;;;;;;
était;;;;;;;;;;;;;
taillé;;;;;;;;;;;;;
une;;;;;;;;;;;;;
habitation;;;;;;LOC;loc.fac;LOC;loc.fac;;;;
commode;;;;;;;;;;;;;
0;;;;;;;;;;;;;
tout;;;;;;;;;;;;;
ombragée;;;;;;;;;;;;;
de;;;;;;;;;;;;;
platanes;;;;;;;;;;;;;
0;;;;;;;;;;;;;
et;;;;;;;;;;;;;
séparée;;;;;;;;;;;;;
des;;;;;;;;;;;;;
ateliers;;;;;;LOC;loc.fac;LOC;loc.fac;;;;
par;;;;;;;;;;;;;
un;;;;;;;;;;;;;
vaste;;;;;;;;;;;;;
jardin;;;;;;LOC;loc.phys;LOC;loc.fac;;;;
.;;;;;;;;;;;;;
"
";;;;;;;;;;;;;
C';;;;;;;;;;;;;
est;;;;;;;;;;;;;
là;;;;;;;;;;;;;
que;;;;;;;;;;;;;
je;;;;;;;;;;;;;
suis;;;;;;;;;;;;;
venu;;;;;;;;;;;;;
au;;;;;;;;;;;;;
monde;;;;;;;;;;;;;
et;;;;;;;;;;;;;
que;;;;;;;;;;;;;
j';;;;;;;;;;;;;
ai;;;;;;;;;;;;;
passé;;;;;;;;;;;;;
les;;;;;;;;;;;;;
premières;;;;;;;;;;;;;
0;;;;;;;;;;;;;
les;;;;;;;;;;;;;
seules;;;;;;;;;;;;;
bonnes;;;;;;;;;;;;;
années;;;;;;;;;;;;;
de;;;;;;;;;;;;;
ma;;;;;;;;;;;;;
vie;;;;;;;;;;;;;
.;;;;;;;;;;;;;
"
";;;;;;;;;;;;;
Aussi;;;;;;;;;;;;;
ma;;;;;;;;;;;;;
mémoire;;;;;;;;;;;;;
reconnaissante;;;;;;;;;;;;;
a;;;;;;;;;;;;;
-t;;;;;;;;;;;;;
-elle;;;;;;;;;;;;;
gardé;;;;;;;;;;;;;
du;;;;;;;;;;;;;
jardin;;;;;;LOC;loc.phys;LOC;loc.fac;;;;
0;;;;;;;;;;;;;
de;;;;;;;;;;;;;
la;;;;;;LOC;loc.fac;LOC;loc.fac;;;;
fabrique;;;;;;LOC;loc.fac;LOC;loc.fac;;;;
et;;;;;;;;;;;;;
des;;;;;;;;;;;;;
platanes;;;;;;;;;;;;;
un;;;;;;;;;;;;;
impérissable;;;;;;;;;;;;;
souvenir;;;;;;;;;;;;;
0;;;;;;;;;;;;;
et;;;;;;;;;;;;;
lorsque;;;;;;;;;;;;;
à;;;;;;;;;;;;;
la;;;;;;;;;;;;;
ruine;;;;;;;;;;;;;
de;;;;;;;;;;;;;
mes;;;;;;;;;;;;;
parents;;;;;;PER;;;;;;;
il;;;;;;;;;;;;;
m';;;;;;;;;;;;;
a;;;;;;;;;;;;;
fallu;;;;;;;;;;;;;
me;;;;;;;;;;;;;
séparer;;;;;;;;;;;;;
de;;;;;;;;;;;;;
ces;;;;;;;;;;;;;
choses;;;;;;;;;;;;;
0;;;;;;;;;;;;;
je;;;;;;;;;;;;;
les;;;;;;;;;;;;;
ai;;;;;;;;;;;;;
positivement;;;;;;;;;;;;;
regrettées;;;;;;;;;;;;;
comme;;;;;;;;;;;;;
des;;;;;;;;;;;;;
êtres;;;;;;;;;;;;;
.;;;;;;;;;;;;;
"
";;;;;;;;;;;;;
Je;;;;;;;;;;;;;
dois;;;;;;;;;;;;;
dire;;;;;;;;;;;;;
0;;;;;;;;;;;;;
pour;;;;;;;;;;;;;
commencer;;;;;;;;;;;;;
0;;;;;;;;;;;;;
que;;;;;;;;;;;;;
ma;;;;;;;;;;;;;
naissance;;;;;;;;;;;;;
ne;;;;;;;;;;;;;
porta;;;;;;;;;;;;;
pas;;;;;;;;;;;;;
bonheur;;;;;;;;;;;;;
à;;;;;;;;;;;;;
la;LOC;;;;loc.fac;ORG;;ORG;;;;LOC;
maison;LOC;;;;loc.fac;ORG;;ORG;;LOC;loc.fac;LOC;
Eyssette;LOC;;LOC;;loc.fac;ORG;;ORG;;;loc.fac;;
.;;;;;;;;;;;;;
La;;;;;;PER;;PER;;PER;;PER;
vieille;;;;;;PER;;PER;;PER;;PER;
Annou;LOC;PER;;PER;;PER;;PER;;PER;;PER;
0;;;;;;;;;;;;;
notre;;;;;;;;;;;;;
cuisinière;;;;;;;;;;;;;
0;;;;;;;;;;;;;
m';;;;;;;;;;;;;
a;;;;;;;;;;;;;
souvent;;;;;;;;;;;;;
conté;;;;;;;;;;;;;
depuis;;;;;;;;;;;;;
comme;;;;;;;;;;;;;
quoi;;;;;;;;;;;;;
mon;;;;;;;;;;;;;
père;;;;;;PER;;;;;;;
0;;;;;;;;;;;;;
en;;;;;;;;;;;;;
voyage;;;;;;;;;;;;;
à;;;;;;;;;;;;;
ce;;;;;;;;;;;;;
moment;;;;;;;;;;;;;
0;;;;;;;;;;;;;
reçut;;;;;;;;;;;;;
en;;;;;;;;;;;;;
même;;;;;;;;;;;;;
temps;;;;;;;;;;;;;
la;;;;;;;;;;;;;
nouvelle;;;;;;;;;;;;;
de;;;;;;;;;;;;;
mon;;;;;;;;;;;;;
apparition;;;;;;;;;;;;;
dans;;;;;;;;;;;;;
le;;;;;;;;;;;;;
monde;;;;;;;;;;;;;
et;;;;;;;;;;;;;
celle;;;;;;;;;;;;;
de;;;;;;;;;;;;;
la;;;;;;;;;;;;;
disparition;;;;;;;;;;;;;
d';;;;;;;;;;;;;
un;;;;;;;;;;;;;
de;;;;;;;;;;;;;
ses;;;;;;;;;;;;;
clients;;;;;;;;;;;;;
de;;;;;;;;;;;;;
Marseille;LOC;;LOC;;loc.adm.town;;loc.adm.town;;loc.adm.town;;loc.adm.town;;
0;;;;;;;;;;;;;
qui;;;;;;;;;;;;;
lui;;;;;;;;;;;;;
emportait;;;;;;;;;;;;;
plus;;;;;;;;;;;;;
de;;;;;;;;;;;;;
quarante;;;;;;;;;;;;;
mille;;;;;;;;;;;;;
francs;;;;;;MISC;;;;;;;
";";;;;;;;;;;;;;
si;;;;;;;;;;;;;
bien;;;;;;;;;;;;;
que;;;;;;;;;;;;;
M.;PER;NA;;;;;;;;;;;
Eyssette;PER;;;;;;;;;;;;
0;;;;;;;;;;;;;
heureux;;;;;;;;;;;;;
et;;;;;;;;;;;;;
désolé;;;;;;;;;;;;;
du;;;;;;;;;;;;;
même;;;;;;;;;;;;;
coup;;;;;;;;;;;;;
0;;;;;;;;;;;;;
se;;;;;;;;;;;;;
demandait;;;;;;;;;;;;;
0;;;;;;;;;;;;;
comme;;;;;;;;;;;;;
l';;;;;;;;;;;;;
autre;;;;;;;;;;;;;
0;;;;;;;;;;;;;
s';;;;;;;;;;;;;
il;;;;;;;;;;;;;
devait;;;;;;;;;;;;;
pleurer;;;;;;;;;;;;;
pour;;;;;;;;;;;;;
la;;;;;;;;;;;;;
disparition;;;;;;;;;;;;;
du;;;;;;;;;;;;;
client;;;;;;;;;;;;;
de;;;;;;;;;;;;;
Marseille;LOC;;LOC;;loc.adm.town;;loc.adm.town;;loc.adm.town;;loc.adm.town;;
0;;;;;;;;;;;;;
ou;;;;;;;;;;;;;
rire;;;;;;;;;;;;;
pour;;;;;;;;;;;;;
l';;;;;;;;;;;;;
heureuse;;;;;;;;;;;;;
arrivée;;;;;;;;;;;;;
du;;;;;;;;;;;;;
Petit;LOC;PER;;PER;;NA;;PER;;PER;;;
Daniel;LOC;PER;;PER;;PER;;PER;;PER;;;
...;;;;;;;;;;;;;
Il;;;;;;;;;;;;;
fallait;;;;;;;;;;;;;
pleurer;;;;;;;;;;;;;
0;;;;;;;;;;;;;
mon;;;;;;;;;;;;;
bon;;;;;;;;;;;;;
monsieur;;;;;;PER;;PER;;PER;;PER;
Eyssette;PER;;;;;PER;;PER;;;;;
0;;;;;;;;;;;;;
il;;;;;;;;;;;;;
fallait;;;;;;;;;;;;;
pleurer;;;;;;;;;;;;;
doublement;;;;;;;;;;;;;
.;;;;;;;;;;;;;
"
";;;;;;;;;;;;;
C';;;;;;;;;;;;;
est;;;;;;;;;;;;;
une;;;;;;;;;;;;;
vérité;;;;;;;;;;;;;
0;;;;;;;;;;;;;
je;;;;;;;;;;;;;
fus;;;;;;;;;;;;;
la;;;;;;;;;;;;;
mauvaise;;;;;;;;;;;;;
étoile;;;;;;;;;;;;;
de;;;;;;;;;;;;;
mes;;;;;;;;;;;;;
parents;;;;;;PER;;;;;;;
.;;;;;;;;;;;;;
Du;;;;;;;;;;;;;
jour;;;;;;;;;;;;;
de;;;;;;;;;;;;;
ma;;;;;;;;;;;;;
naissance;;;;;;;;;;;;;
0;;;;;;;;;;;;;
d';;;;;;;;;;;;;
incroyables;;;;;;;;;;;;;
malheurs;;;;;;;;;;;;;
les;;;;;;;;;;;;;
assaillirent;;;;;;;;;;;;;
par;;;;;;;;;;;;;
vingt;;;;;;;;;;;;;
endroits;;;;;;;;;;;;;
.;;;;;;;;;;;;;
D';;;;;;;;;;;;;
abord;;;;;;;;;;;;;
nous;;;;;;;;;;;;;
eûmes;;;;;;;;;;;;;
donc;;;;;;;;;;;;;
le;;;;;;;;;;;;;
client;;;;;;;;;;;;;
de;;;;;;;;;;;;;
Marseille;LOC;;LOC;;;;loc.adm.town;;loc.adm.town;;loc.adm.town;;
0;;;;;;;;;;;;;
puis;;;;;;;;;;;;;
deux;;;;;;;;;;;;;
fois;;;;;;;;;;;;;
le;;;;;;;;;;;;;
feu;;;;;;;;;;;;;
dans;;;;;;;;;;;;;
la;;;;;;;;;;;;;
même;;;;;;;;;;;;;
année;;;;;;;;;;;;;
0;;;;;;;;;;;;;
puis;;;;;;;;;;;;;
la;;;;;;;;;;;;;
grève;;;;;;;;;;;;;
des;;;;;;;;;;;;;
ourdisseuses;;;;;;;;;;;;;
0;;;;;;;;;;;;;
puis;;;;;;;;;;;;;
notre;;;;;;;;;;;;;
brouille;;;;;;;;;;;;;
avec;;;;;;;;;;;;;
l';;;;;PER;PER;;PER;;;;;
oncle;;;;;PER;PER;;PER;;;;PER;
Baptiste;PER;;;;PER;PER;;PER;;;;;
?;;;;;;;;;;;;;
0;;;;;;;;;;;;;
puis;;;;;;;;;;;;;
un;;;;;;;;;;;;;
procès;;;;;;;;;;;;;
très;;;;;;;;;;;;;
coûteux;;;;;;;;;;;;;
avec;;;;;;;;;;;;;
nos;;;;;;;;;;;;;
marchands;;;;;;PER;;;;;;;
de;;;;;;PER;;;;;;;
couleurs;;;;;;PER;;;;;;;
0;;;;;;;;;;;;;
puis;;;;;;;;;;;;;
0;;;;;;;;;;;;;
enfin;;;;;;;;;;;;;
0;;;;;;;;;;;;;
la;;;;;;MISC;;MISC;;;;;
révolution;;;;;;MISC;;MISC;;;;;
de;;;;;;MISC;;MISC;;;;;
18;;;;;;MISC;;MISC;;;;;
...;;;;;;MISC;;;;;;;
0;;;;;;;;;;;;;
qui;;;;;;;;;;;;;
nous;;;;;;;;;;;;;
donna;;;;;;;;;;;;;
le;;;;;;;;;;;;;
coup;;;;;;;;;;;;;
de;;;;;;;;;;;;;
grâce;;;;;;;;;;;;;
.;;;;;;;;;;;;;
"
";;;;;;;;;;;;;
À;;;;;;;;;;;;;
partir;;;;;;;;;;;;;
de;;;;;;;;;;;;;
ce;;;;;;;;;;;;;
moment;;;;;;;;;;;;;
0;;;;;;;;;;;;;
la;;;;;;ORG;;;;;;;
fabrique;;;;;;ORG;;LOC;loc.fac;;;;
ne;;;;;;;;;;;;;
battit;;;;;;;;;;;;;
plus;;;;;;;;;;;;;
que;;;;;;;;;;;;;
d';;;;;;;;;;;;;
une;;;;;;;;;;;;;
aile;;;;;;;;;;;;;
";";;;;;;;;;;;;;
petit;;;;;;;;;;;;;
à;;;;;;;;;;;;;
petit;;;;;;;;;;;;;
0;;;;;;;;;;;;;
les;;;;;;LOC;loc.fac;;;;;;
ateliers;;;;;;LOC;loc.fac;LOC;loc.fac;;;;
se;;;;;;;;;;;;;
vidèrent;;;;;;;;;;;;;
:;;;;;;;;;;;;;
chaque;;;;;;;;;;;;;
semaine;;;;;;;;;;;;;
un;;;;;;;;;;;;;
métier;;;;;;;;;;;;;
à;;;;;;;;;;;;;
bas;;;;;;;;;;;;;
0;;;;;;;;;;;;;
chaque;;;;;;;;;;;;;
mois;;;;;;;;;;;;;
une;;;;;;;;;;;;;
table;;;;;;;;;;;;;
d';;;;;;;;;;;;;
impression;;;;;;;;;;;;;
de;;;;;;;;;;;;;
moins;;;;;;;;;;;;;
.;;;;;;;;;;;;;
C';;;;;;;;;;;;;
était;;;;;;;;;;;;;
pitié;;;;;;;;;;;;;
de;;;;;;;;;;;;;
voir;;;;;;;;;;;;;
la;;;;;;;;;;;;;
vie;;;;;;;;;;;;;
s';;;;;;;;;;;;;
en;;;;;;;;;;;;;
aller;;;;;;;;;;;;;
de;;;;;;;;;;;;;
notre;;;;;;;;;;;;;
maison;;;;;;LOC;loc.fac;ORG;;;;;
comme;;;;;;;;;;;;;
d';;;;;;;;;;;;;
un;;;;;;;;;;;;;
corps;;;;;;;;;;;;;
malade;;;;;;;;;;;;;
0;;;;;;;;;;;;;
lentement;;;;;;;;;;;;;
0;;;;;;;;;;;;;
tous;;;;;;;;;;;;;
les;;;;;;;;;;;;;
jours;;;;;;;;;;;;;
un;;;;;;;;;;;;;
peu;;;;;;;;;;;;;
.;;;;;;;;;;;;;
Une;;;;;;;;;;;;;
fois;;;;;;;;;;;;;
0;;;;;;;;;;;;;
on;;;;;;;;;;;;;
n';;;;;;;;;;;;;
entra;;;;;;;;;;;;;
plus;;;;;;;;;;;;;
dans;;;;;;;;;;;;;
les;;;;;;LOC;loc.fac;LOC;loc.fac;;;;
salles;;;;;;LOC;loc.fac;LOC;loc.fac;;;;
du;;;;;;LOC;loc.fac;LOC;loc.fac;;;;
second;;;;;;LOC;loc.fac;LOC;loc.fac;;;;
.;;;;;;;;;;;;;
Une;;;;;;;;;;;;;
autre;;;;;;;;;;;;;
fois;;;;;;;;;;;;;
0;;;;;;;;;;;;;
la;;;;;;LOC;loc.fac;LOC;loc.fac;;;;
cour;;;;;;LOC;loc.fac;LOC;loc.fac;;;;
du;;;;;;;;LOC;loc.fac;;;;
fond;;;;;;;;LOC;loc.fac;;;;
fut;;;;;;;;;;;;;
condamnée;;;;;;;;;;;;;
.;;;;;;;;;;;;;
Cela;;;;;;;;;;;;;
dura;;;;;;;;;;;;;
ainsi;;;;;;;;;;;;;
pendant;;;;;;;;;;;;;
deux;;;;;;;;;;;;;
ans;;;;;;;;;;;;;
";";;;;;;;;;;;;;
pendant;;;;;;;;;;;;;
deux;;;;;;;;;;;;;
ans;;;;;;;;;;;;;
0;;;;;;;;;;;;;
la;;;;;;ORG;;LOC;loc.fac;;;;
fabrique;;;;;;ORG;;LOC;loc.fac;;;;
agonisa;;;;;;;;;;;;;
.;;;;;;;;;;;;;
Enfin;;;;;;;;;;;;;
0;;;;;;;;;;;;;
un;;;;;;;;;;;;;
jour;;;;;;;;;;;;;
0;;;;;;;;;;;;;
les;;;;;;PER;;;;;;;
ouvriers;;;;;;PER;;;;;;;
ne;;;;;;;;;;;;;
vinrent;;;;;;;;;;;;;
plus;;;;;;;;;;;;;
0;;;;;;;;;;;;;
la;;;;;;;;;;;;;
cloche;;;;;;;;;;;;;
des;;;;;;LOC;loc.fac;;;;;;
ateliers;;;;;;LOC;loc.fac;LOC;loc.fac;;;;
ne;;;;;;;;;;;;;
sonna;;;;;;;;;;;;;
pas;;;;;;;;;;;;;
0;;;;;;;;;;;;;
le;;;;;;;;;;;;;
puits;;;;;;;;;;;;;
à;;;;;;;;;;;;;
roue;;;;;;;;;;;;;
cessa;;;;;;;;;;;;;
de;;;;;;;;;;;;;
grincer;;;;;;;;;;;;;
0;;;;;;;;;;;;;
l';;;;;;;;;;;;;
eau;;;;;;;;;;;;;
des;;;;;;;;;;;;;
grands;;;;;;;;;;;;;
bassins;;;;;;;;;;;;;
0;;;;;;;;;;;;;
dans;;;;;;;;;;;;;
lesquels;;;;;;;;;;;;;
on;;;;;;;;;;;;;
lavait;;;;;;;;;;;;;
les;;;;;;;;;;;;;
tissus;;;;;;;;;;;;;
0;;;;;;;;;;;;;
demeura;;;;;;;;;;;;;
immobile;;;;;;;;;;;;;
0;;;;;;;;;;;;;
et;;;;;;;;;;;;;
bientôt;;;;;;;;;;;;;
0;;;;;;;;;;;;;
dans;;;;;;;;;;;;;
toute;;;;;;;;;;;;;
la;;;;;;LOC;loc.fac;LOC;loc.fac;;;;
fabrique;;;;;;LOC;loc.fac;LOC;loc.fac;;;;
0;;;;;;;;;;;;;
il;;;;;;;;;;;;;
ne;;;;;;;;;;;;;
resta;;;;;;;;;;;;;
plus;;;;;;;;;;;;;
que;;;;;;;;;;;;;
M.;PER;NA;;;;;;;;;;;
et;;;;;;;;;;;;;
Mme;PER;NA;;;;;;;;;;;
Eyssette;PER;;;;;;;;;;;;
0;;;;;;;;;;;;;
la;;;;PER;;PER;;PER;;PER;;PER;
vieille;;;;PER;;PER;;PER;;PER;;PER;
Annou;LOC;PER;;PER;;PER;;PER;;PER;;PER;
0;;;;;;;;;;;;;
mon;;;;;;;;;;;;PER;
frère;;;;;;;;;;;;PER;
Jacques;PER;;;;;;;;;;;;
et;;;;;;;;;;;;;
moi;;;;;;;;;;;;;
";";;;;;;;;;;;;;
puis;;;;;;;;;;;;;
0;;;;;;;;;;;;;
là;;;;;;;;;;;;;
0;;;;;;;;;;;;;
bas;;;;;;;;;;;;;
0;;;;;;;;;;;;;
dans;;;;;;;;;;;;;
le;;;;;;;;;;;;;
fond;;;;;;;;;;;;;
0;;;;;;;;;;;;;
pour;;;;;;;;;;;;;
garder;;;;;;;;;;;;;
les;;;;;;LOC;loc.fac;LOC;loc.fac;;;;
ateliers;;;;;;LOC;loc.fac;LOC;loc.fac;;;;
0;;;;;;;;;;;;;
le;;;;PER;;PER;;PER;;PER;;PER;
concierge;;;;PER;;PER;;PER;;PER;;PER;
Colombe;PER;;;PER;;PER;;PER;;;;;
et;;;;;;;;;;;;;
son;;;;;;;;;;;;;
fils;;;;;;;;;;;;;
le;;;;PER;;PER;;PER;;PER;;PER;
petit;;;;PER;;PER;;PER;;PER;;PER;
Rouget;PER;;;PER;;PER;;PER;;;;;
.;;;;;;;;;;;;;
"
";;;;;;;;;;;;;
C';;;;;;;;;;;;;
était;;;;;;;;;;;;;
fini;;;;;;;;;;;;;
0;;;;;;;;;;;;;
nous;;;;;;;;;;;;;
étions;;;;;;;;;;;;;
ruinés;;;;;;;;;;;;;
.;;;;;;;;;;;;;
"
";;;;;;;;;;;;;
J';;;;;;;;;;;;;
avais;;;;;;;;;;;;;
alors;;;;;;;;;;;;;
six;;;;;;;;;;;;;
ou;;;;;;;;;;;;;
sept;;;;;;;;;;;;;
ans;;;;;;;;;;;;;
.;;;;;;;;;;;;;
Comme;;;;;;;;;;;;;
j';;;;;;;;;;;;;
étais;;;;;;;;;;;;;
très;;;;;;;;;;;;;
frêle;;;;;;;;;;;;;
et;;;;;;;;;;;;;
maladif;;;;;;;;;;;;;
0;;;;;;;;;;;;;
mes;;;;;;;;;;;;;
parents;;;;;;;;;;;;;
n';;;;;;;;;;;;;
avaient;;;;;;;;;;;;;
pas;;;;;;;;;;;;;
voulu;;;;;;;;;;;;;
m';;;;;;;;;;;;;
envoyer;;;;;;;;;;;;;
à;;;;;;;;;;;;;
l';;;;;;;;LOC;Loc.fac;;;;
école;;;;;;;;LOC;Loc.fac;;;;
.;;;;;;;;;;;;;
Ma;PER;NA;;NA;;;;NA;;NA;;NA;
mère;PER;NA;;NA;;;;NA;;NA;;NA;
m';PER;NA;;NA;;NA;;NA;;NA;;NA;
avait;;;;;;;;;;;;;
seulement;;;;;;;;;;;;;
appris;;;;;;;;;;;;;
à;;;;;;;;;;;;;
lire;;;;;;;;;;;;;
et;;;;;;;;;;;;;
à;;;;;;;;;;;;;
écrire;;;;;;;;;;;;;
0;;;;;;;;;;;;;
plus;;;;;;;;;;;;;
quelques;;;;;;;;;;;;;
mots;;;;;;;;;;;;;
d';;;;;;;;;;;;;
espagnol;;;;;;;;;;;;;
et;;;;;;;;;;;;;
deux;;;;;;;;;;;;;
ou;;;;;;;;;;;;;
trois;;;;;;;;;;;;;
airs;;;;;;;;;;;;;
de;;;;;;;;;;;;;
guitare;;;;;;;;;;;;;
0;;;;;;;;;;;;;
à;;;;;;;;;;;;;
l';;;;;;;;;;;;;
aide;;;;;;;;;;;;;
desquels;;;;;;;;;;;;;
on;;;;;;;;;;;;;
m';;;;;;;;;;;;;
avait;;;;;;;;;;;;;
fait;;;;;;;;;;;;;
0;;;;;;;;;;;;;
dans;;;;;;;;;;;;;
la;;;;;;;;;;;;;
famille;;;;;;;;;;;;;
0;;;;;;;;;;;;;
une;;;;;;;;;;;;;
réputation;;;;;;;;;;;;;
de;;;;;;;;;;;;;
petit;;;;;;;;;;;;;
prodige;;;;;;;;;;;;;
.;;;;;;;;;;;;;
Grâce;;;;;;;;;;;;;
à;;;;;;;;;;;;;
ce;;;;;;;;;;;;;
système;;;;;;;;;;;;;
d';;;;;;;;;;;;;
éducation;;;;;;;;;;;;;
0;;;;;;;;;;;;;
je;;;;;;;;;;;;;
ne;;;;;;;;;;;;;
bougeais;;;;;;;;;;;;;
jamais;;;;;;;;;;;;;
de;;;;;;;;;;;;;
chez;;;;;;;;;;;;;
nous;;;;;;;;;;;;;
0;;;;;;;;;;;;;
et;;;;;;;;;;;;;
je;;;;;;;;;;;;;
pus;;;;;;;;;;;;;
assister;;;;;;;;;;;;;
dans;;;;;;;;;;;;;
tous;;;;;;;;;;;;;
ses;;;;;;;;;;;;;
détails;;;;;;;;;;;;;
à;;;;;;;;;;;;;
l';;;;;;;;;;;;;
agonie;;;;;;;;;;;;;
de;;;;;;;;;;;;;
la;;;;LOC;loc.fac;ORG;;ORG;;LOC;loc.fac;LOC;
maison;;;;LOC;loc.fac;ORG;;ORG;;LOC;loc.fac;LOC;
Eyssette;LOC;;LOC;LOC;loc.fac;ORG;;ORG;;;loc.fac;;
.;;;;;;;;;;;;;
Ce;;;;;;;;;;;;;
spectacle;;;;;;;;;;;;;
me;;;;;;;;;;;;;
laissa;;;;;;;;;;;;;
froid;;;;;;;;;;;;;
0;;;;;;;;;;;;;
je;;;;;;;;;;;;;
l';;;;;;;;;;;;;
avoue;;;;;;;;;;;;;
";";;;;;;;;;;;;;
même;;;;;;;;;;;;;
je;;;;;;;;;;;;;
trouvai;;;;;;;;;;;;;
à;;;;;;;;;;;;;
notre;;;;;;;;;;;;;
ruine;;;;;;;;;;;;;
ce;;;;;;;;;;;;;
côté;;;;;;;;;;;;;
très;;;;;;;;;;;;;
agréable;;;;;;;;;;;;;
que;;;;;;;;;;;;;
je;;;;;;;;;;;;;
pouvais;;;;;;;;;;;;;
gambader;;;;;;;;;;;;;
à;;;;;;;;;;;;;
ma;;;;;;;;;;;;;
guise;;;;;;;;;;;;;
par;;;;;;;;;;;;;
toute;;;;;;;;;;;;;
la;;;;;;LOC;loc.fac;LOC;Loc.fac;;;;
fabrique;;;;;;LOC;loc.fac;LOC;Loc.fac;;;;
0;;;;;;;;;;;;;
ce;;;;;;;;;;;;;
qui;;;;;;;;;;;;;
0;;;;;;;;;;;;;
du;;;;;;;;;;;;;
temps;;;;;;;;;;;;;
des;;;;;;;;;;;;;
ouvriers;;;;;;PER;;;;;;;
0;;;;;;;;;;;;;
ne;;;;;;;;;;;;;
m';;;;;;;;;;;;;
était;;;;;;;;;;;;;
permis;;;;;;;;;;;;;
que;;;;;;;;;;;;;
le;;;;;;;;;;;;;
dimanche;;;;;;;;;;;;;
.;;;;;;;;;;;;;
Je;;;;;;;;;;;;;
disais;;;;;;;;;;;;;
gravement;;;;;;;;;;;;;
au;;;;;;;;PER;;;;;
petit;;;;PER;;PER;;PER;;;;PER;
Rouget;PER;;;PER;;PER;;PER;;;;;
:;;;;;;;;;;;;;
"
";;;;;;;;;;;;;
«;;;;;;;;;;;;;
